"AreaLabel"	"data-version"	"PM-filename"
"Area-hPO1"	7.1	"Area-hPO1_l_N10_nlin2MNI152ASYM2009C_7.1_publicP_20a70c234cb120fb4a7ed16b9a23cdfb.nii.gz"
"Area-hPO1"	7.1	"Area-hPO1_r_N10_nlin2MNI152ASYM2009C_7.1_publicP_f137efe6e7e30006a286764b0708afd4.nii.gz"
"Area-1"	8.4	"Area-1_l_N10_nlin2MNI152ASYM2009C_8.4_publicP_a9fedffac41cadad59359dc8b602ef95.nii.gz"
"Area-1"	8.4	"Area-1_r_N10_nlin2MNI152ASYM2009C_8.4_publicP_e8d32d9779cbacab28b0a21d92e5c098.nii.gz"
"Area-2"	3.4	"Area-2_l_N9_nlin2MNI152ASYM2009C_3.4_publicP_7526b786324a9bc0d0cf4b2942cacad7.nii.gz"
"Area-2"	3.4	"Area-2_r_N9_nlin2MNI152ASYM2009C_3.4_publicP_c529c51f6c6e6ed10e8b2f46ebb8550a.nii.gz"
"Area-3a"	8.4	"Area-3a_l_N10_nlin2MNI152ASYM2009C_8.4_publicP_21c814255639c5a26e2e67ee4201f3a3.nii.gz"
"Area-3a"	8.4	"Area-3a_r_N10_nlin2MNI152ASYM2009C_8.4_publicP_4a0f0ebb63caf309c661bd550229a26e.nii.gz"
"Area-3b"	8.4	"Area-3b_l_N10_nlin2MNI152ASYM2009C_8.4_publicP_e77fb21b2a8fa6b90a791acdd0c8f690.nii.gz"
"Area-3b"	8.4	"Area-3b_r_N10_nlin2MNI152ASYM2009C_8.4_publicP_789bbc4124edc3f32b9058473b70ce62.nii.gz"
"Area-6d1"	4.1	"Area-6d1_l_N10_nlin2MNI152ASYM2009C_4.1_publicDOI_13de44a2c2d75bdc01f4e4f3c33ab70c.nii.gz"
"Area-6d1"	4.1	"Area-6d1_r_N10_nlin2MNI152ASYM2009C_4.1_publicDOI_2a4509c2f0c6bdc52863e376049c3fde.nii.gz"
"Area-6d2"	4.1	"Area-6d2_l_N10_nlin2MNI152ASYM2009C_4.1_publicDOI_e8a157e7d4005c001c54b0ea29378393.nii.gz"
"Area-6d2"	4.1	"Area-6d2_r_N10_nlin2MNI152ASYM2009C_4.1_publicDOI_d027403f16747e0ac6f67dc3649f84a8.nii.gz"
"Area-6d3"	4.1	"Area-6d3_l_N10_nlin2MNI152ASYM2009C_4.1_publicDOI_285f0f08aca736a967a265f27b78f267.nii.gz"
"Area-6d3"	4.1	"Area-6d3_r_N10_nlin2MNI152ASYM2009C_4.1_publicDOI_49949fbd2006bb6a9f3f6032f79fc1e7.nii.gz"
"Area-5Ci"	8.4	"Area-5Ci_l_N10_nlin2MNI152ASYM2009C_8.4_publicP_c87b6ceb439d4f1598d5c77cb8479a1e.nii.gz"
"Area-5Ci"	8.4	"Area-5Ci_r_N10_nlin2MNI152ASYM2009C_8.4_publicP_6b7ea73932bf60acbe2bf9c395381f55.nii.gz"
"Area-5L"	8.4	"Area-5L_l_N10_nlin2MNI152ASYM2009C_8.4_publicP_ee264b92d11f2a43b0ed49f9e7bfffd4.nii.gz"
"Area-5L"	8.4	"Area-5L_r_N10_nlin2MNI152ASYM2009C_8.4_publicP_86b905ed83404e843f135f497cf484a9.nii.gz"
"Area-5M"	8.4	"Area-5M_l_N10_nlin2MNI152ASYM2009C_8.4_publicP_b8d9fc804f57f2a6bd1116f02acffec8.nii.gz"
"Area-5M"	8.4	"Area-5M_r_N10_nlin2MNI152ASYM2009C_8.4_publicP_21ee1551a3c30324f42ca0bb903eaae1.nii.gz"
"Area-7A"	8.4	"Area-7A_l_N10_nlin2MNI152ASYM2009C_8.4_publicP_0120e6ac53deea83a5203a7368a35b31.nii.gz"
"Area-7A"	8.4	"Area-7A_r_N10_nlin2MNI152ASYM2009C_8.4_publicP_b5a68034a7ab7caabf5fe1909cbb87dd.nii.gz"
