code,short_name,full_name,components,source,note
52,Ctx_2_L,"Cortex: Area 2, Left",Area 2,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
53,Ctx_3a_L,"Cortex: Area 3a, Left",Area 3a,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
54,Ctx_6d_L,"Cortex: Dorsal area 6, Left",Dorsal area 6,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
55,Ctx_6mp_L,"Cortex: Area 6mp, Left",Area 6mp,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
56,Ctx_6v_L,"Cortex: Ventral Area 6, Left",Ventral Area 6,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
57,Ctx_p24pr_L,"Cortex: Area Posterior 24 prime, Left",Area Posterior 24 prime,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
58,Ctx_33pr_L,"Cortex: Area 33 prime, Left",Area 33 prime,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
59,Ctx_a24pr_L,"Cortex: Anterior 24 prime, Left",Anterior 24 prime,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
60,Ctx_p32pr_L,"Cortex: Area p32 prime, Left",Area p32 prime,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
61,Ctx_a24_L,"Cortex: Area a24, Left",Area a24,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
62,Ctx_d32_L,"Cortex: Area dorsal 32, Left",Area dorsal 32,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
63,Ctx_8BM_L,"Cortex: Area 8BM, Left",Area 8BM,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
