areaname;pmapversion;colin27_l;colin27_r;icbm152asym2009c_l;icbm152asym2009c_r;JulichBrain157Atlas;JulichBrain175Atlas;fsaverage
Interposed-Nucleus;6.3;Interposed-Nucleus_pmap_l_N10_nlin2Stdcolin27_6.3_public_a69f95726d7cb674eed905fd55f5b78a.nii.gz;Interposed-Nucleus_pmap_r_N10_nlin2Stdcolin27_6.3_public_e6ac7fffa112ce09d44101ebbe2fbb3d.nii.gz;Interposed-Nucleus_pmap_l_N10_nlin2ICBM152asym2009c_6.3_public_954a92e266da273ddfb712b919b7a41d.nii.gz;Interposed-Nucleus_pmap_r_N10_nlin2ICBM152asym2009c_6.3_public_0d5f64194cee28e5c551e6d0a153f5d5.nii.gz;1;1;0
LB.Bl;8.2;LB.Bl_pmap_l_N10_nlin2Stdcolin27_8.2_publicP_80ac7dac784793189f28ea20b480c5c4.nii.gz;LB.Bl_pmap_r_N10_nlin2Stdcolin27_8.2_publicP_301a1f77810fd4120d020ce2cc4b204e.nii.gz;LB.Bl_pmap_l_N10_nlin2ICBM152asym2009c_8.2_publicP_2a3be0f4977b9e7a58640c412c6f7ae4.nii.gz;LB.Bl_pmap_r_N10_nlin2ICBM152asym2009c_8.2_publicP_ba2ed23746a2206a09aefad46071c0db.nii.gz;0;1;0
LB.Bm;8.2;LB.Bm_pmap_l_N10_nlin2Stdcolin27_8.2_publicP_8e49eb0fdbc70173260fee7f7a15a9fa.nii.gz;LB.Bm_pmap_r_N10_nlin2Stdcolin27_8.2_publicP_659363cf6ced78efcb277615399d51ba.nii.gz;LB.Bm_pmap_l_N10_nlin2ICBM152asym2009c_8.2_publicP_2ea4790a020d39c215a3d5ab5f65e8bd.nii.gz;LB.Bm_pmap_r_N10_nlin2ICBM152asym2009c_8.2_publicP_b0b7ac7630b58f05280d1b7ca50cb7a4.nii.gz;0;1;0
LB.La;8.2;LB.La_pmap_l_N10_nlin2Stdcolin27_8.2_publicP_bab12bf495fac605f241acc3112bddd9.nii.gz;LB.La_pmap_r_N10_nlin2Stdcolin27_8.2_publicP_37b9c27be656715bcb45c61009d258f5.nii.gz;LB.La_pmap_l_N10_nlin2ICBM152asym2009c_8.2_publicP_4d03621b3f553339f3e0041a741c0125.nii.gz;LB.La_pmap_r_N10_nlin2ICBM152asym2009c_8.2_publicP_350ce55fb51f20de1fcbc7b4f94c9cc8.nii.gz;0;1;0
LB.Pl;8.2;LB.Pl_pmap_l_N10_nlin2Stdcolin27_8.2_publicP_5b78e56ab18cdc3e06c356674ece7da3.nii.gz;LB.Pl_pmap_r_N10_nlin2Stdcolin27_8.2_publicP_09cac22a214d854ea289c4598d274bb3.nii.gz;LB.Pl_pmap_l_N10_nlin2ICBM152asym2009c_8.2_publicP_f24099905e7af1851e685f4eecd133e4.nii.gz;LB.Pl_pmap_r_N10_nlin2ICBM152asym2009c_8.2_publicP_efbaf745ced110a7da6bbc395c73760d.nii.gz;0;1;0
LB;8.2;LB_pmap_l_N10_nlin2Stdcolin27_8.2_public_a35d89db8c1565cfeb660e3e4ebf2111.nii.gz;LB_pmap_r_N10_nlin2Stdcolin27_8.2_public_928f389b47eab0f9ca16f3595551cff9.nii.gz;LB_pmap_l_N10_nlin2ICBM152asym2009c_8.2_public_3793b2324d61f699acf41e47fd4b0b3c.nii.gz;LB_pmap_r_N10_nlin2ICBM152asym2009c_8.2_public_05ec292d74691d78237f2b47ee14203b.nii.gz;1;0;0
MF.icm;8.2;MF.icm_pmap_l_N10_nlin2Stdcolin27_8.2_publicP_eb7b1e9f03a512d59f62060095693f68.nii.gz;MF.icm_pmap_r_N10_nlin2Stdcolin27_8.2_publicP_be5c6ce47c28f080c1dd5e3da320863a.nii.gz;MF.icm_pmap_l_N10_nlin2ICBM152asym2009c_8.2_publicP_e8b43db38c784f6dcc343670280006ed.nii.gz;MF.icm_pmap_r_N10_nlin2ICBM152asym2009c_8.2_publicP_88f2ba7ab91982cd4c95b1e4717e4b13.nii.gz;0;1;0
MF.lm;8.2;MF.lm_pmap_l_N10_nlin2Stdcolin27_8.2_publicP_a197c0bec2d97fe5669911827b5872d4.nii.gz;MF.lm_pmap_r_N10_nlin2Stdcolin27_8.2_publicP_1d74c2b4325eac7de974d47eb441dfd8.nii.gz;MF.lm_pmap_l_N10_nlin2ICBM152asym2009c_8.2_publicP_283f463c2ce7dac0c602fa2e5096197c.nii.gz;MF.lm_pmap_r_N10_nlin2ICBM152asym2009c_8.2_publicP_e20e86b291fc705dd69447c08348643a.nii.gz;0;1;0
MF;8.2;MF_pmap_l_N10_nlin2Stdcolin27_8.2_public_44ba5e3d5c2b35674210e3b85dc66a6d.nii.gz;MF_pmap_r_N10_nlin2Stdcolin27_8.2_public_3e66ebc22d8d27ad83fc0bed4970bef1.nii.gz;MF_pmap_l_N10_nlin2ICBM152asym2009c_8.2_public_aa999288973ff532fca4829a3cd56709.nii.gz;MF_pmap_r_N10_nlin2ICBM152asym2009c_8.2_public_50844e581c0a60c478a9d90cb7d643a0.nii.gz;1;0;0
SF.AHi;8.2;SF.AHi_pmap_l_N10_nlin2Stdcolin27_8.2_publicP_c96ee0245f9b417e539bc872f77036da.nii.gz;SF.AHi_pmap_r_N10_nlin2Stdcolin27_8.2_publicP_697e76b621bf4004e8e33da640b942b1.nii.gz;SF.AHi_pmap_l_N10_nlin2ICBM152asym2009c_8.2_publicP_142b25d9a819aeb4bbfe980acbf5b8ef.nii.gz;SF.AHi_pmap_r_N10_nlin2ICBM152asym2009c_8.2_publicP_1c8c16f37ea207e7fa28dd19582fcf0a.nii.gz;0;1;0
SF.APir;8.2;SF.APir_pmap_l_N10_nlin2Stdcolin27_8.2_publicP_0397374a5ecf0fcc9962f8bb25c2e5e6.nii.gz;SF.APir_pmap_r_N10_nlin2Stdcolin27_8.2_publicP_615764ce9e18bf3b88e8a606d9a320ca.nii.gz;SF.APir_pmap_l_N10_nlin2ICBM152asym2009c_8.2_publicP_9a023c255dbd8fabd35641cb1f424ede.nii.gz;SF.APir_pmap_r_N10_nlin2ICBM152asym2009c_8.2_publicP_b5f473c4385ddd442fd7ff8db03691e4.nii.gz;0;1;0
SF.VCo;8.2;SF.VCo_pmap_l_N10_nlin2Stdcolin27_8.2_publicP_669c5107fa199451586191a949e1c90f.nii.gz;SF.VCo_pmap_r_N10_nlin2Stdcolin27_8.2_publicP_970953a21ce0246ffd53af6333470998.nii.gz;SF.VCo_pmap_l_N10_nlin2ICBM152asym2009c_8.2_publicP_28ed4ea2e8b7541968ce5471cd20deac.nii.gz;SF.VCo_pmap_r_N10_nlin2ICBM152asym2009c_8.2_publicP_26c9404e6aceccada1e2b2ca9e4d645e.nii.gz;0;1;0
SF;8.2;SF_pmap_l_N10_nlin2Stdcolin27_8.2_public_97f284b77bf71d85f08f41b2ec7753cd.nii.gz;SF_pmap_r_N10_nlin2Stdcolin27_8.2_public_df1978f69cdc3237d0c8188fe661c982.nii.gz;SF_pmap_l_N10_nlin2ICBM152asym2009c_8.2_public_d5bf2b26667383d87246706ae2eddb47.nii.gz;SF_pmap_r_N10_nlin2ICBM152asym2009c_8.2_public_a9aa8e5523fe0b5a5e448f3f4606b81c.nii.gz;1;0;0
STN;5.0;STN_pmap_l_N10_nlin2Stdcolin27_5.0_public_933919932729bf767a29a5e9ed109890.nii.gz;STN_pmap_r_N10_nlin2Stdcolin27_5.0_public_bc0377f4305770926d3beb874360816d.nii.gz;STN_pmap_l_N10_nlin2ICBM152asym2009c_5.0_public_e7a0f86714fa77e289816276c5dc6681.nii.gz;STN_pmap_r_N10_nlin2ICBM152asym2009c_5.0_public_26255f86712dabf9903b7eb511445c95.nii.gz;1;1;0
Subiculum.PaS;13.2;Subiculum.PaS_pmap_l_N10_nlin2Stdcolin27_13.2_publicP_aee6402ca4a0ddc7106e0559c602393b.nii.gz;Subiculum.PaS_pmap_r_N10_nlin2Stdcolin27_13.2_publicP_f977995caf3fa082c20aee1263b8144a.nii.gz;Subiculum.PaS_pmap_l_N10_nlin2ICBM152asym2009c_13.2_publicP_eb84259c26d70391920651f7a04328b8.nii.gz;Subiculum.PaS_pmap_r_N10_nlin2ICBM152asym2009c_13.2_publicP_2e78a819e74ce508f1e44ba6fa56a478.nii.gz;0;1;0
Subiculum.PreS;13.2;Subiculum.PreS_pmap_l_N10_nlin2Stdcolin27_13.2_publicP_f122dc4e91ea2d35c379b049e52384f2.nii.gz;Subiculum.PreS_pmap_r_N10_nlin2Stdcolin27_13.2_publicP_3e8dfacd5b42f5cf6fe702e368fcf561.nii.gz;Subiculum.PreS_pmap_l_N10_nlin2ICBM152asym2009c_13.2_publicP_aac3002c1648b3e706fd6df3adffdffd.nii.gz;Subiculum.PreS_pmap_r_N10_nlin2ICBM152asym2009c_13.2_publicP_fbac8c4fed249b167c6bf5196790d134.nii.gz;0;1;0
Subiculum.ProS;13.2;Subiculum.ProS_pmap_l_N10_nlin2Stdcolin27_13.2_publicP_2864f44ca243a72d08eab51a09d652ac.nii.gz;Subiculum.ProS_pmap_r_N10_nlin2Stdcolin27_13.2_publicP_7a776de38afd2b16d43a40ab7fc4de4c.nii.gz;Subiculum.ProS_pmap_l_N10_nlin2ICBM152asym2009c_13.2_publicP_b9eca9ceb15c0575b2c53361f2a9e62c.nii.gz;Subiculum.ProS_pmap_r_N10_nlin2ICBM152asym2009c_13.2_publicP_ee35164fa64a68eafbc042a4efe78224.nii.gz;0;1;0
Subiculum.Sub;13.2;Subiculum.Sub_pmap_l_N10_nlin2Stdcolin27_13.2_publicP_23e4881868a686910a2ef2ddb744bdbb.nii.gz;Subiculum.Sub_pmap_r_N10_nlin2Stdcolin27_13.2_publicP_400464d8ee3cd5981f8a0818a4f91bd7.nii.gz;Subiculum.Sub_pmap_l_N10_nlin2ICBM152asym2009c_13.2_publicP_f255aa3afd0191757a0c7cba2de87612.nii.gz;Subiculum.Sub_pmap_r_N10_nlin2ICBM152asym2009c_13.2_publicP_f00496c1599ccb0aa3ed4ddb61ed9497.nii.gz;0;1;0
Subiculum;13.2;Subiculum_pmap_l_N10_nlin2Stdcolin27_13.2_public_02143a2564971d0c3d2809c507e1aba1.nii.gz;Subiculum_pmap_r_N10_nlin2Stdcolin27_13.2_public_c602c41bd2193f06fd7f512dd9911b1f.nii.gz;Subiculum_pmap_l_N10_nlin2ICBM152asym2009c_13.2_public_ec1540dc256b42415dd0a8c36a91071a.nii.gz;Subiculum_pmap_r_N10_nlin2ICBM152asym2009c_13.2_public_3abf7671db1d1cfc5cd07b4e11281f47.nii.gz;1;0;0
Temporal-to-Parietal;11.4;Temporal-to-Parietal_pmap_l_N10_nlin2Stdcolin27_11.4_public_6419ad510d07f169d22f36c86e1087dc.nii.gz;Temporal-to-Parietal_pmap_r_N10_nlin2Stdcolin27_11.4_public_115ca6f617eede28d4e31c63689410d5.nii.gz;Temporal-to-Parietal_pmap_l_N10_nlin2ICBM152asym2009c_11.4_public_7a0464169aad886d661aa8b9e052235c.nii.gz;Temporal-to-Parietal_pmap_r_N10_nlin2ICBM152asym2009c_11.4_public_7081d3b40ada8313ade236f29601a068.nii.gz;1;1;1
Terminal-islands;4.0;Terminal-islands_pmap_l_N10_nlin2Stdcolin27_4.0_public_5a3b42aa37df625defb3d54af086db6b.nii.gz;Terminal-islands_pmap_r_N10_nlin2Stdcolin27_4.0_public_b52e8afb86491fe573a28b5ecd804bdd.nii.gz;Terminal-islands_pmap_l_N10_nlin2ICBM152asym2009c_4.0_public_7b565de879fe9c4fed01760408aa83f8.nii.gz;Terminal-islands_pmap_r_N10_nlin2ICBM152asym2009c_4.0_public_df56847fec9d429f4ec9ab25b375bdd2.nii.gz;1;1;0
Tuberculum;4.0;Tuberculum_pmap_l_N10_nlin2Stdcolin27_4.0_public_bb838d2ec9ddb731897633610b3a8d36.nii.gz;Tuberculum_pmap_r_N10_nlin2Stdcolin27_4.0_public_98cbba2e02b041dc476c537b9ab29ada.nii.gz;Tuberculum_pmap_l_N10_nlin2ICBM152asym2009c_4.0_public_9da27f4b53ff0e96ad51bade93bd5585.nii.gz;Tuberculum_pmap_r_N10_nlin2ICBM152asym2009c_4.0_public_3de574ad4909b2f19b14363974fe665e.nii.gz;1;1;1
VP;5.0;VP_pmap_l_N10_nlin2Stdcolin27_5.0_public_6a491fbeb743d9c1ba024f61a488f3d2.nii.gz;VP_pmap_r_N10_nlin2Stdcolin27_5.0_public_c40a4ec7bf5e3aa593a6fa1a61be9498.nii.gz;VP_pmap_l_N10_nlin2ICBM152asym2009c_5.0_public_a68acc2621750783c218bfd402bdd3bb.nii.gz;VP_pmap_r_N10_nlin2ICBM152asym2009c_5.0_public_72821e8137093e0dc2e32303899e8227.nii.gz;1;1;0
VTM;8.2;VTM_pmap_l_N10_nlin2Stdcolin27_8.2_public_fe720f60bf19ee96d70c2c3ac9ea5630.nii.gz;VTM_pmap_r_N10_nlin2Stdcolin27_8.2_public_189ce4b17626ae284b4e45662695a2e0.nii.gz;VTM_pmap_l_N10_nlin2ICBM152asym2009c_8.2_public_4b8b040fd435029305186d580d7d26ed.nii.gz;VTM_pmap_r_N10_nlin2ICBM152asym2009c_8.2_public_7971986ebcc3f57e3136d24047e098e2.nii.gz;1;1;0
Ventral-Dentate-Nucleus;6.3;Ventral-Dentate-Nucleus_pmap_l_N10_nlin2Stdcolin27_6.3_public_ddea164f554cdf58706097c90d2f4517.nii.gz;Ventral-Dentate-Nucleus_pmap_r_N10_nlin2Stdcolin27_6.3_public_6b33bfed2ba43d92b68944ed0f45446a.nii.gz;Ventral-Dentate-Nucleus_pmap_l_N10_nlin2ICBM152asym2009c_6.3_public_5edda3a4db797755a97808ad22063581.nii.gz;Ventral-Dentate-Nucleus_pmap_r_N10_nlin2ICBM152asym2009c_6.3_public_0ba3c37af501a05ed9c20e038a2a4c97.nii.gz;1;1;0
